Year	Stratum	Weight
2007	Bos	0.00612486317929592
2007	Heide en duin	0.0163558739775556
2007	Landbouw	0.933272657213487
2007	Moeras en water	0.01659890225577
2007	Suburbaan	0.0214012389402529
2007	Urbaan	0.00624646443363931
2008	Bos	0.00891265477777387
2008	Heide en duin	0.0105818060214221
2008	Landbouw	0.924250485993943
2008	Moeras en water	0.0237719810489181
2008	Suburbaan	0.0153394829051463
2008	Urbaan	0.0171435892527964
2009	Bos	0.00609885248250778
2009	Heide en duin	0.00786286749521222
2009	Landbouw	0.927106137164183
2009	Moeras en water	0.0213676179617312
2009	Suburbaan	0.0170183384767156
2009	Urbaan	0.02054618641965
2010	Bos	0.00671280229760873
2010	Heide en duin	0.0177973433956194
2010	Landbouw	0.923591875310905
2010	Moeras en water	0.0200494512624931
2010	Suburbaan	0.0253781804730913
2010	Urbaan	0.00647034726028199
2011	Bos	0.00726893137388923
2011	Heide en duin	0.0135543229329456
2011	Landbouw	0.914252740881739
2011	Moeras en water	0.0262315124052947
2011	Suburbaan	0.0149944089301286
2011	Urbaan	0.0236980834760025
2012	Bos	0.0103242711246185
2012	Heide en duin	0.00505139825139609
2012	Landbouw	0.939090910063303
2012	Moeras en water	0.0164219800774728
2012	Suburbaan	0.00667206332625451
2012	Urbaan	0.0224393771569555
2013	Bos	0.00787634232574405
2013	Heide en duin	0.0203238363033484
2013	Landbouw	0.93661463570748
2013	Moeras en water	0.0175896748365519
2013	Suburbaan	0.0175955108268759
2014	Bos	0.0087728824936152
2014	Heide en duin	0.0200667082325221
2014	Landbouw	0.919225540770973
2014	Moeras en water	0.0155416151072235
2014	Suburbaan	0.0135122557947636
2014	Urbaan	0.0228809976009023
