Year	Stratum	Weight
2007	Bos	0.0122147849760902
2007	Heide en duin	0.0275218089717627
2007	Landbouw	0.921304464543579
2007	Moeras en water	0.00827577759527504
2007	Suburbaan	0.0213401935867544
2007	Urbaan	0.00934297032653922
2008	Bos	0.0177546609270081
2008	Heide en duin	0.0474293979546975
2008	Landbouw	0.899178314669557
2008	Moeras en water	0.00591944086260543
2008	Suburbaan	0.0183344238883132
2008	Urbaan	0.0113837616978183
2009	Bos	0.0244347984464162
2009	Heide en duin	0.0157511255607044
2009	Landbouw	0.896582236690169
2009	Moeras en water	0.00856084713759524
2009	Suburbaan	0.0340916321360545
2009	Urbaan	0.0205793600290611
2010	Bos	0.0140790247766371
2010	Heide en duin	0.0314947149814558
2010	Landbouw	0.903973295965581
2010	Moeras en water	0.00700841736351974
2010	Suburbaan	0.0332666612081197
2010	Urbaan	0.0101778857046862
2011	Bos	0.0115406934991929
2011	Heide en duin	0.0516476313269729
2011	Landbouw	0.900176945660693
2011	Moeras en water	0.00504813221388708
2011	Suburbaan	0.019044986809013
2011	Urbaan	0.012541610490241
2012	Bos	0.0247651437186272
2012	Heide en duin	0.0181754143463279
2012	Landbouw	0.901050391716967
2012	Moeras en water	0.0118175711927967
2012	Suburbaan	0.0240067223894095
2012	Urbaan	0.0201847566358717
2013	Bos	0.0122556713834097
2013	Heide en duin	0.036141831711463
2013	Landbouw	0.915100457658181
2013	Moeras en water	0.00912323959617668
2013	Suburbaan	0.0273787996507691
2014	Bos	0.0207546121636473
2014	Heide en duin	0.0569678320078044
2014	Landbouw	0.892174422237741
2014	Moeras en water	0.00612797816038725
2014	Suburbaan	0.0239751554304202
