Cycle	Stratum	Weight
0	Bos	0.0839176136432429
0	Heide en duin	0.0456727079669157
0	Landbouw	0.732696348558035
0	Moeras en water	0.0269228103017956
0	Suburbaan	0.0328478962418962
0	Urbaan	0.077942623288115
1	Bos	0.0887809036323436
1	Heide en duin	0.0463232316982044
1	Landbouw	0.732690976060263
1	Moeras en water	0.0248708656518156
1	Suburbaan	0.0353923061403852
1	Urbaan	0.0719417168169878
2	Bos	0.0796382615699497
2	Heide en duin	0.0450798599124648
2	Landbouw	0.737957564649413
2	Moeras en water	0.027222404142037
2	Suburbaan	0.0311984848472921
2	Urbaan	0.0789034248788437
