Cycle	Stratum	Weight
0	Bos	0.00128406092321387
0	Heide en duin	0.0103917223913741
0	Landbouw	0.94417447708938
0	Moeras en water	0.0128081473825277
0	Suburbaan	0.0233439227193658
0	Urbaan	0.00799766949413888
1	Bos	0.00131382061832057
1	Heide en duin	0.0111967037455652
1	Landbouw	0.944670048483449
1	Moeras en water	0.0128817675459278
1	Suburbaan	0.0222594435793623
1	Urbaan	0.0076782160273754
2	Bos	0.00198536881758718
2	Heide en duin	0.0171384612459817
2	Landbouw	0.927707516564437
2	Moeras en water	0.0150536926106188
2	Suburbaan	0.0266873400934602
2	Urbaan	0.011427620667915
