LocationID	LocationName	SPA	Area	XBelgiumLambert72	YBelgiumLambert72
RHOE_05.11	Canal de Pommeroeul à Nimy	0	114.9829091	111931.1188	129665.3594
RHOE_05.12	Canal de Pommeroeul à Péruwelz	1	58.32995408	100685.7077	131392.7866
RHOE_05.13	Canal de Nimy à Strépy-Bracquegnies	0	121.0823522	125471.8434	129414.1761
RHOE_05.14	Thieu (Réserve RNOB)	1	41.79044527	129277.6316	128349.3391
RHOE_05.15	Bernissart (Lac)	0	19.1192491	98480.35063	130554.3235
RHOE_05.16	Ancien canal Harchies-Bernissart	0	28.53278506	100767.6873	129841.2401
RHOE_05.17	Péronnes-lez-Binche	0	0.651521425	134052.3252	125458.8083
RHOE_05.20	Canal Ath-Blaton (intégralité)	0	660	107839	146842
RHOE_05.21	Canal de Pérulwez à Péronnes-lez-Antoing	0	101.0003232	91084.17932	135591.5597
RHOE_05.22	Haine de Hensies à Pommeroeul	0	61.33049219	106118.4866	126607.5221
RHOE_05.23	Tertre (Etang en face des Herbières) / Commune de Saint-Ghislain	0	2.319828568	109097.7001	127293.3923
RHOE_05.24	Wiers	0	NA	NA	NA
RHOE_05.25	Wiers (Prairies du Biez)	0	5	90589	132955
RHOE_06.01	Vallée de la Trouille entre Hyon et Spiennes	0	149.4171261	122323.8993	124533.323
RHOE_06.02	Quévy (Décanteurs)	0	32.43437201	121733.7373	118914.4566
RHOE_06.03	Saint-Sumphorien (Carrières Les Phosphates)	1	65.61021227	125009.936	126256.6806
RHOE_06.05	Vallée de la Trouille entre Givry et Harmignies	0	356.8987724	124784.606	120167.5352
RHOE_06.06	La Wampe à Harveng	0	NA	NA	NA
RHOE_06.07	Harveng (Étang parc)	0	NA	NA	NA
RHOE_07.01	Braine-le-Comte (Etangs Martel)	0	2.61952759	134338.2514	143953.4594
RHOE_07.02	Ecaussines (carrière de Scouffleny)	0	21.64287756	137519.0423	138498.3059
RHOE_07.04	Godarville	0	9.974266323	144539.8709	130543.2411
RHOE_07.05	Ronquières (Pied d'Au)	0	12.91914001	139229.7999	144954.293
RHOE_07.06	Ronquières (RND)	0	3.157987736	140920.8653	143420.1929
RHOE_07.07	Seneffe (Etang Buisseret)	0	3.736688474	140632.1398	135591.2728
RHOE_07.08	"Canal de Hal à Seneffe (lieu-dit ""Le Gibet"" y compris)"	0	246.697237	139937.9016	144722.173
RHOE_07.09	Canal du centre de Seneffe à Strépy-Bracquegnies	0	73.21754894	137439.3955	132573.2179
RHOE_07.10	Lessines (Carrières)	0	235.1966807	113794.8969	155558.566
RHOE_07.11	Papignies (bassin d'orage de l'E429)	1	4.379443185	110611.2431	152168.6602
RHOE_07.12	Ancien canal de Ronquières à Seneffe	0	92.015755	142434.1753	138913.2706
RHOE_07.13	Mignault (Domaine de Boudry)	0	25.058643	132500.5732	134397.1143
RHOE_07.14	Lessines (Dendre)	0	73.57069002	111764.4888	154063.8798
RHOE_07.16	Strépy (RND des Etangs de Strépy + étangs de pêche)	1	35.99786593	132058.7109	127308.6431
RHOE_07.17	Flobecq (station d'épuration)	0	5.22402296	106129.7179	159216.3012
RHOE_07.18	Le Roeulx (Etangs à proximité du château)	0	12.8450143	130761.6871	132830.9748
RHOE_07.22	Deux-Acren (Petit Marais)	0	14.73209189	113114.3836	157567.1021
RHOE_07.23	Houdeng-Goegnies (zoning industriel magnapark) / Commune de La Louvière	0	1.5	136551	131066
RHOE_07.24	Ghislenghien : bassin d'orage du zoning	0	2.106917213	114518.3411	150139.0388
RHOE_07.26	Ittre	0	NA	NA	NA
